,Headline,Day,Date,Timings
4713,madurai today,Thursday,2012-06-28,"['7.30 p.m.', '9 a.m.', '6 p.m.', '7 p.m.', '5 p.m.', '6 p.m.', '6.30 p.m.', '7 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '2.30 p.m.', '9 a.m.', '4 p.m.', '11 a.m.', '6.30 p.m.', '6.31 p.m.', '3 p.m.', '10 a.m.', '7 p.m.']"
4714,Engagements,Thursday,2012-06-28,['7 p.m.']
4715,Chennai today,Thursday,2012-06-28,['7 p.m.']
4716,madurai today,Thursday,2012-06-28,"['7.30 p.m.', '9 a.m.', '6 p.m.', '7 p.m.', '5 p.m.', '6 p.m.', '6.30 p.m.', '7 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '2.30 p.m.', '9 a.m.', '4 p.m.', '11 a.m.', '6.30 p.m.', '6.31 p.m.', '3 p.m.', '10 a.m.', '7 p.m.']"
4717,Engagements,Wednesday,2012-06-27,"['7 p.m.', '10 a.m.']"
4718,In the capital today,Wednesday,2012-06-27,['7 p.m.']
4719,Chennai today,Wednesday,2012-06-27,['7 p.m.']
4720,Madurai today,Wednesday,2012-06-27,"['7.30 p.m.', '7 a.m.', '7 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6 p.m.', '6.30 a.m.', '6 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6.30 p.m.', '2.30 p.m.', '9.15 a.m.', '3 p.m.', '6.30 p.m.', '3 p.m.', '8.40 a.m.', '7.30 p.m.']"
4721,Engagements,Tuesday,2012-06-26,"['8.30 a.m.', '8 p.m.', '4 p.m.', '5 p.m.', '7.30 p.m.', '7 p.m.']"
4722,Chennai today,Tuesday,2012-06-26,['7 p.m.']
4723,madurai today,Tuesday,2012-06-26,"['7.30 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '11 a.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6.30 p.m.', '6.45 p.m.', '10 a.m.', '10 a.m.', '10.30 a.m.', '8.50 a.m.', '10.30 a.m.', '10 a.m.', '2 p.m.', '7.30 p.m.', '3 p.m.', '7 p.m.']"
4724,In the capital today,Monday,2012-06-25,['7 p.m.']
4725,Chennai today,Monday,2012-06-25,"['6.30 p.m.', '7 p.m.']"
4726,Engagements,Monday,2012-06-25,['7 p.m.']
4727,Madurai today,Sunday,2012-06-24,['7 p.m.']
4728,In the capital today,Sunday,2012-06-24,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
4729,Chennai today,Sunday,2012-06-24,"['11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.']"
4730,madurai today,Saturday,2012-06-23,['7 p.m.']
4731,Engagements,Saturday,2012-06-23,['7 p.m.']
4732,In the capital today,Saturday,2012-06-23,['7 p.m.']
4733,Chennai today,Saturday,2012-06-23,['7 p.m.']
4734,In the capital today,Friday,2012-06-22,['7 p.m.']
4735,Chennai today,Friday,2012-06-22,['7 p.m.']
4736,Chennai today,Friday,2012-06-22,['7 p.m.']
4737,madurai today,Friday,2012-06-22,['7.30 p.m.']
4738,In the capital today,Thursday,2012-06-21,['7 p.m.']
4739,Chennai today,Thursday,2012-06-21,['7 p.m.']
4740,Engagements,Thursday,2012-06-21,['7 p.m.']
4741,Madurai today,Thursday,2012-06-21,['7 p.m.']
4742,madurai today,Wednesday,2012-06-20,['7.30 p.m.']
4743,In the capital today,Wednesday,2012-06-20,['7 p.m.']
4744,Chennai today,Wednesday,2012-06-20,['7 p.m.']
4745,Engagements,Tuesday,2012-06-19,"['7 p.m.', '10 a.m.']"
4746,Chennai today,Tuesday,2012-06-19,['7 p.m.']
4747,Chennai today,Monday,2012-06-18,"['6.30 p.m.', '7 p.m.']"
4748,In the capital today,Monday,2012-06-18,['7 p.m.']
4749,madurai today,Monday,2012-06-18,['7 p.m.']
4750,Coimbatore today,Sunday,2012-06-17,"['9.30 a.m.', '4 p.m.', '4 p.m.', '5.30 p.m.', '9.30 a.m.', '6.30 p.m.', '9.30 a.m.', '6.30 p.m.', '9 a.m.', '11 a.m.', '3 p.m.', '9.30 a.m.', '3 p.m.', '10 a.m.']"
4751,Chennai today,Sunday,2012-06-17,['7 p.m.']
4752,madurai today,Sunday,2012-06-17,['7 p.m.']
4753,Chennai today,Saturday,2012-06-16,"['6 p.m.', '6.30 p.m.', '10 a.m.', '6.30 p.m.', '7 p.m.', '5.30 p.m.', '6.30 p.m.', '9.30 a.m.', '3.30 p.m.', '5 p.m.', '6 p.m.', '5 p.m.', '5.30 p.m.', '5.30 p.m.', '6 p.m.', '3.30 p.m.', '5 p.m.', '6 p.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
4754,In the capital today,Saturday,2012-06-16,['7 p.m.']
4755,madurai today,Saturday,2012-06-16,['7 p.m.']
4756,madurai today,Friday,2012-06-15,['7.30 p.m.']
4757,In the capital today,Friday,2012-06-15,['7 p.m.']
4758,chennai today,Friday,2012-06-15,['7 p.m.']
4759,Engagements,Thursday,2012-06-14,"['7 p.m.', '10.00 a.m.']"
4760,madurai today,Wednesday,2012-06-13,['7.30 p.m.']
4761,In the capital today,Wednesday,2012-06-13,['7 p.m.']
4762,Chennai today,Wednesday,2012-06-13,"['7 p.m.', '7 p.m.']"
4763,madurai today,Tuesday,2012-06-12,['7 p.m.']
4764,Chennai today,Tuesday,2012-06-12,['7 p.m.']
4765,In the capital today,Monday,2012-06-11,['7 p.m.']
4766,Chennai today,Monday,2012-06-11,"['6.30 p.m.', '7 p.m.']"
4767,madurai today,Monday,2012-06-11,['7 p.m.']
4768,Chennai today,Sunday,2012-06-10,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.']"
4769,Madurai Today,Sunday,2012-06-10,['7 p.m.']
4770,In the capital today,Sunday,2012-06-10,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.', '11 a.m.']"
4771,Coimbatore today,Sunday,2012-06-10,"['3 p.m.', '10 a.m.', '9 a.m.']"
4772,Engagements,Saturday,2012-06-09,['7 p.m.']
4773,In the capital today,Saturday,2012-06-09,['7 p.m.']
4774,Chennai today,Saturday,2012-06-09,"['7 p.m.', '7 p.m.', '6 p.m.', '6 p.m.', '6 p.m.', '10 a.m.', '4 p.m.', '6 p.m.', '10 a.m.', '5 p.m.', '9 a.m.', '6 p.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
4775,Madurai today,Friday,2012-06-08,['7.30 p.m.']
4776,In the capital today,Friday,2012-06-08,['7 p.m.']
4777,Chennai today,Friday,2012-06-08,['7 p.m.']
4778,Engagements,Thursday,2012-06-07,"['7 p.m.', '10 a.m.']"
4779,madurai today,Thursday,2012-06-07,"['6.30 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '7 p.m.', '6.30 p.m.', '6.15 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10 a.m.', '7.15 p.m.', '3 p.m.', '7 p.m.']"
4780,In the capital today,Thursday,2012-06-07,['7 p.m.']
4781,Chennai today,Thursday,2012-06-07,['7 p.m.']
4782,madurai today,Wednesday,2012-06-06,"['7.30 p.m.', '7 a.m.', '7 p.m.', '8 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6 p.m.', '6.30 a.m.', '6 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10.30 a.m.', '3 p.m.', '7.30 p.m.']"
4783,Chennai today,Wednesday,2012-06-06,['7 p.m.']
4784,Chennai today,Tuesday,2012-06-05,['7 p.m.']
4785,Engagements,Tuesday,2012-06-05,"['7 p.m.', '3.30 p.m.', '9 a.m.', '8.00 a.m.', '10.00 a.m.']"
4786,madurai today,Tuesday,2012-06-05,['7 p.m.']
4787,madurai today,Monday,2012-06-04,['7 p.m.']
4788,In the capital today,Monday,2012-06-04,['7 p.m.']
4789,Engagements,Monday,2012-06-04,"['7 p.m.', '4 p.m.']"
4790,Chennai today,Monday,2012-06-04,['7 p.m.']
4791,Madurai today,Sunday,2012-06-03,['7 p.m.']
4792,Engagements,Sunday,2012-06-03,"['3 pm.', '11 am.', '10 am.', '2 pm.', '11.30 am.', '10 am.', '10 am\r', '10.15 am.', '3 pm.', '4 pm.']"
4793,In the capital today,Sunday,2012-06-03,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"
4794,Chennai today,Sunday,2012-06-03,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.']"
4795,Engagements,Saturday,2012-06-02,['7 p.m.']
4796,In the capital today,Saturday,2012-06-02,['7 p.m.']
4797,madurai today,Saturday,2012-06-02,['7 p.m.']
4798,Chennai today,Saturday,2012-06-02,['7 p.m.']
4799,madurai today,Friday,2012-06-01,['7.30 p.m.']
4800,Fighting it together,Friday,2012-06-01,[]
4801,In the capital today,Friday,2012-06-01,['7 p.m.']
4802,Chennai today,Friday,2012-06-01,['7 p.m.']
4803,Fighting it together,Friday,2012-06-01,[]
4804,Fighting it together,Friday,2012-06-01,[]
4805,Engagements,Thursday,2012-05-31,['7 p.m.']
4806,madurai today,Thursday,2012-05-31,"['7.30 p.m.', '7 p.m.', '5 p.m.', '7.30 a.m.', '10 a.m.', '6.30 p.m.', '6 p.m.', '7 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '11 a.m.', '5 p.m.', '6.30 a.m.', '6 a.m.', '6 p.m.', '6.45 p.m.', '8 p.m.', '10 a.m.', '10 a.m.', '5 p.m.', '3 p.m.', '7 p.m.']"
4807,In the capital today,Thursday,2012-05-31,['7 p.m.']
4808,Chennai today,Thursday,2012-05-31,['7 p.m.']
4809,Fighting it together,Thursday,2012-05-31,[]
4810,Fighting it together,Thursday,2012-05-31,[]
4811,Smoke gets in your lives,Wednesday,2012-05-30,['2 a.m.']
4812,"Trials, errors and the art of compromise",Wednesday,2012-05-30,[]
4813,"Trials, errors and the art of compromise",Wednesday,2012-05-30,[]
4814,madurai today,Wednesday,2012-05-30,['7.30 p.m.']
4815,In the capital today,Wednesday,2012-05-30,['7 p.m.']
4816,Chennai today,Wednesday,2012-05-30,['7 p.m.']
4817,In the capital today,Tuesday,2012-05-29,['7 p.m.']
